county,district,boarddocs_site,portal,evidence_url,notes
Collier,Collier County Public Schools,fl/collier,BoardDocs,https://go.boarddocs.com/fl/collier/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Columbia,Columbia County School District,,unknown,https://www.columbiak12.com/school-board,"research agent. Search snippet of the School Board page says it has a 'School Board Meeting Information' section with agendas and minutes, meetings are at 372 W Duval St and broadcast on YouTube, but the page could not be fetched (connection dropped on www/non-www/http; browser navigation denied; old domain columbia.k12.fl.us no longer resolves) so the hosting system is unverified. No agenda PDFs indexed and no BoardDocs site found (site:go.boarddocs.com Columbia County / Lake City returns nothing)."
DeSoto,DeSoto County School District,fl/desoto,BoardDocs,https://go.boarddocs.com/fl/desoto/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Dixie,Dixie District Schools,,district website (Google Drive links),https://www.dixie.k12.fl.us/schoolboard,research agent. Agendas and minutes (July 2025 through Aug 2026) posted as Google Drive file links on the School Board page (confirmed by fetch); no agenda portal. No BoardDocs found.
Duval,Duval County Public Schools,,CivicClerk,https://dcps.duvalschools.org/Page/22084,research agent. District page titled 'Public Portal - CivicClerk' fronts the CivicClerk portal https://duvalcosb.portal.civicclerk.com/ (e.g. Sept 2 2025 Regular Board Meeting agenda at /event/3084/files/agenda/27216; July 2021 meetings also present). Older minutes are also posted as pages on dcps.duvalschools.org (e.g. /page/minutes-february-21-2024) and Blackboard-era meeting notices. No BoardDocs site found. Duval pages could not be parsed by the fetch tool; evidence is from search results.
Escambia,Escambia County Public Schools,fl/escambia,BoardDocs,https://go.boarddocs.com/fl/escambia/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Flagler,Flagler Schools,fla/flcsd,BoardDocs,https://go.boarddocs.com/fla/flcsd/Board.nsf/Public,research agent; verified by corpus.py meetings. BoardDocs Pro site titled 'Flagler County Public Schools BoardDocs Pro' with Agenda and Policies pages. District Board Meetings page https://www.flaglerschools.com/school-board/board-calendar/board-meetings (snippet: 'Flagler Schools uses Board Docs to manage all documents associated with board meetings') could not be fetched (connection dropped).
Franklin,Franklin County School District,fl/franklin,BoardDocs,https://go.boarddocs.com/fl/franklin/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Gadsden,Gadsden County School District,,district website (MyConnectSuite-hosted PDFs),https://www.gadsdenschools.org/boardagendasandminutes,research agent. Board Agendas & Minutes page archives 2009-2026 by year and month (confirmed by fetch); files served from content.myconnectsuite.com; no agenda portal. No BoardDocs found.
Gilchrist,Gilchrist County School District,,district website (Apptegy documents),https://www.gilchristschools.org/page/meeting-information,research agent. Agendas and minutes posted under gilchristschools.org/documents/school-board/meeting-information/ (files on thrillshare / core-docs S3); the page could not be parsed by the fetch tool but search results show 2026 agenda documents and Oct 2025 minutes there. No BoardDocs found.
Glades,Glades County School District,fl/glad,BoardDocs,https://www.gladesedu.org/page/board-meetings,research agent; verified by corpus.py meetings. District Board Meetings page links 'Board Docs' to https://go.boarddocs.com/fl/glad/Board.nsf/Public (confirmed by fetch).
Gulf,Gulf District Schools,,district website,https://gulfcoschools.com/school-board/upcoming-meetings-and-events/,research agent. Agendas posted as site posts (e.g. https://gulfcoschools.com/school-board-meeting-agenda-for-february-3rd-2026/) and minutes as PDFs under gulfcoschools.com/uploads/; site returns HTTP 403 to the fetch tool so verified from search results only. No BoardDocs found (site:go.boarddocs.com Gulf County returns nothing).
Hamilton,Hamilton County School District,,district website,https://www.hamiltonfl.com/81991_2,"research agent. Board Documents (81991_2) and Board Meetings (81992_2) pages; search snippet says agenda topics and official written records are found under School Board Documents and the calendar of board meetings on hamiltonfl.com. Pages could not be fetched (connection dropped). No BoardDocs found. Do not confuse with Hamilton County Schools, TN (BOEConnect)."
Hardee,Hardee County School District,fl/hardee,BoardDocs,https://go.boarddocs.com/fl/hardee/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Hendry,Hendry County School District,fl/hendry,BoardDocs,https://go.boarddocs.com/fl/hendry/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Hernando,Hernando County School District,,Legistar (Granicus),https://hernandoschools.legistar.com/,research agent. BoardDocs fl/hern holds policies only; meetings on Legistar (Granicus). CONFLICT: meeting agendas and minutes (2023-2025+) are on Legistar at hernandoschools.legistar.com; BoardDocs fl/hern hosts the School Board Policy Manual (https://go.boarddocs.com/fl/hern/Board.nsf/Public?open=&id=welcome). District pages https://www.hernandoschools.org/school-board-home and /archived-agendas-minutes could not be fetched; per snippet the archive page covers Nov 2010-Sept 2021 via an older meeting portal.
Highlands,School Board of Highlands County,fl/highlfl,BoardDocs,https://go.boarddocs.com/fl/highlfl/Board.nsf/Public,"research agent; verified by corpus.py meetings. BoardDocs LT site 'School Board of Highlands County, 426 School St., Sebring' with Active Meetings and Active Policies. District Board Meetings page snippet says 'Current meetings and packets are available through BoardDocs' but https://www2.highlands.k12.fl.us/school-board/board-meetings returned 404 and the information-and-links page could not be parsed."
Hillsborough,Hillsborough County Public Schools,fl/sdhc,BoardDocs,data/research_dispositions.csv,development research
Holmes,Holmes District School Board,fl/hdsb,BoardDocs,https://go.boarddocs.com/fl/hdsb/Board.nsf/Public,"research agent; verified by corpus.py meetings. Search snippet from hdsb.org: 'Beginning April 3, 2023, school board meeting agendas and minutes are posted online using BoardDocs'; hdsb.org returns HTTP 403 to the fetch tool. Pre-2023 records under https://www.hdsb.org/meeting-archives."
Indian River,School District of Indian River County,fl/ircs,BoardDocs,https://go.boarddocs.com/fl/ircs/Board.nsf/Public,"research agent; verified by corpus.py meetings. Search snippet: 'Board of Education Meeting Agendas/Minutes and District Policies and Regulations are accessible in BoardDocs'; district page https://www.indianriverschools.org/o/sdirc/page/school-board could not be parsed by the fetch tool. Do not confuse with Indian River SD (Delaware, de/irsd)."
Jackson,Jackson County School Board,,BoardDocs (policy manual only),https://go.boarddocs.com/fl/jcsb/Board.nsf/Public?open=&id=welcome,"fl/jcsb is a policy-only BoardDocs PL site with an empty meeting list. research agent; verified by corpus.py meetings. BoardDocs site header '2903 Jefferson Street, Marianna, FL 32446'; district agenda page https://www.jcsb.org/apps/pages/index.jsp?uREC_ID=1731428&type=d&pREC_ID=1906082 could not be fetched (connection dropped). Do not confuse with jacksonk12.org (a different Jackson County)."
Jefferson,Jefferson County Schools,fl/jcsd,BoardDocs,https://www.jeffersonschools.net/schoolboard,research agent; verified by corpus.py meetings. School Board page links 'BoardDocs (2022-Present)' to https://go.boarddocs.com/fl/jcsd/Board.nsf/Public (confirmed by fetch); 2012-2021 records were on eConvene.
Lafayette,Lafayette District Schools,,district website,https://www.lafayette.k12.fl.us/BoardAgendas,research agent. Board Agendas page and Official Minutes page (https://www.lafayette.k12.fl.us/OfficialMinutes) host PDFs (e.g. /_theme/files/2024-2025/1_01 May 2025 Agenda.pdf); site could not be fetched (connection reset) so verified from search results. A newer Apptegy site https://www.gocommodores.org/page/school-board also exists; which is authoritative is unclear. No BoardDocs found.
Lake,Lake County Schools,fla/lake,BoardDocs,https://go.boarddocs.com/fla/lake/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Lee,School District of Lee County,fl/lee,BoardDocs,https://go.boarddocs.com/fl/lee/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Leon,Leon County Schools,fla/leon,BoardDocs,https://go.boarddocs.com/fla/leon/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Levy,School Board of Levy County,fl/levyk12,BoardDocs,https://go.boarddocs.com/fl/levyk12/Board.nsf/public,"research agent; verified by corpus.py meetings. BoardDocs LT site with Active Meetings and Active Policies pages. District Board Agendas page https://www.levyk12.org/board-agendas (snippet) says that from July 1 2022 agendas, superintendent approval items and minutes are accessed 'through Diligent Community' (Diligent is BoardDocs' vendor); levyk12.org could not be fetched (connection dropped 3x) to confirm which product the link targets."
Liberty,Liberty County School District,fl/lcsbfl,BoardDocs,https://go.boarddocs.com/fl/lcsbfl/Board.nsf/Public,"research agent; verified by corpus.py meetings. BoardDocs LT site '11051 NW SR 20 | Bristol, FL 32321' with meetings through Feb 2026; district page https://www.lcsb.org/schoolboard (snippet: agendas and minutes via BoardDocs) could not be fetched."
Madison,Madison County School District,fl/madcofl,BoardDocs,https://go.boarddocs.com/fl/madcofl/Board.nsf/Public,"research agent; verified by corpus.py meetings. BoardDocs LT site header '210 NE Duval Avenue Madison, Florida 32340' with Active Meetings pages; district page https://www.madison.k12.fl.us/page/school-board could not be parsed by the fetch tool. Do not confuse with madison-schools.com (Madison County Schools, MS)."
Manatee,School District of Manatee County,,BoardDocs (policy manual only),https://go.boarddocs.com/fl/mancofl/Board.nsf/Public,fl/mancofl is a policy-only BoardDocs PL site; the meetings site slug was not found. research agent; verified by corpus.py meetings. Search snippet from district site: 'The School District of Manatee County uses BoardDocs' (public may sign up to speak once the agenda is posted). Archives for meetings/workshops prior to April 12 2022 are on a Granicus iQM2 Meeting Portal (http://manateecountyschoolfl.iqm2.com/Citizens/Default.aspx). District pages https://www.manateeschools.net/page/school-board-meetings and /schoolboardmeetingagenda could not be parsed by the fetch tool.
Marion,Marion County Public Schools,fl/marion,BoardDocs,https://go.boarddocs.com/fl/marion/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Martin,Martin County School District,fl/martin,BoardDocs,https://go.boarddocs.com/fl/martin/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Miami-Dade,Miami-Dade County Public Schools,,custom,data/development_cases.csv,development corpus; not BoardDocs
Monroe,Monroe County School District,,Granicus,https://monroe-k12.granicus.com/ViewPublisher.php?view_id=1,"research agent. BoardDocs fl/sbmon holds policies only; meetings on Granicus. CONFLICT: meeting agendas/videos (through Aug 25 2026, Sept-Dec 2026 scheduled) are on Granicus at monroe-k12.granicus.com (confirmed by fetch), which keysschools.com pages link for viewing meetings and agendas; minutes are listed less consistently there. BoardDocs fl/sbmon (https://go.boarddocs.com/fl/sbmon/Board.nsf/Public?open=&id=policies) hosts Policies and Procedures. District page https://www.keysschools.com/page/school-board could not be parsed."
Nassau,Nassau County School District,fl/nassau,BoardDocs,data/sources.csv,development corpus
Okaloosa,Okaloosa County School District,fl/okaloosa,BoardDocs,https://go.boarddocs.com/fl/okaloosa/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Okeechobee,Okeechobee County School Board,fl/okee,BoardDocs,https://go.boarddocs.com/fl/okee/Board.nsf/Public,"research agent; verified by corpus.py meetings. BoardDocs Pro site 'Okeechobee County School Board'; district site navigation links 'Board Agendas and Minutes (BoardDocs)' and lists agendas/minutes 2021-present (BoardDocs) and prior to Feb 2021 (district documents, e.g. https://www.okeeschools.org/documents/school-board/16824243). okee.k12.fl.us/board-policies now returns 404."
Orange,Orange County Public Schools,fla/orcpsfl,BoardDocs,https://www.ocps.net/meetings-agendas-minutes-home,"research agent; verified by corpus.py meetings. Page snippet: 'School Board meeting and work session agendas, minutes and other information are available through BoardDocs' and OCPS uses BoardDocs for Board Meetings, Work Sessions and Rule Development Workshops; BoardDocs Pro site https://go.boarddocs.com/fla/orcpsfl/Board.nsf/Public. Page could not be fetched (connection dropped)."
Osceola,School District of Osceola County,fl/osceola,BoardDocs,https://go.boarddocs.com/fl/osceola/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Palm Beach,School District of Palm Beach County,fl/palmbeach,BoardDocs,https://go.boarddocs.com/fl/palmbeach/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Pasco,Pasco County Schools,fl/pasco,BoardDocs,https://go.boarddocs.com/fl/pasco/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Pinellas,Pinellas County Schools,fl/pcsfl,BoardDocs,data/research_dispositions.csv,development research
Polk,Polk County Public Schools,fl/polk,BoardDocs,data/research_dispositions.csv,development research
Putnam,Putnam County School District,fl/putnam,BoardDocs,https://go.boarddocs.com/fl/putnam/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
St. Johns,St. Johns County School District,fl/stjohns,BoardDocs,https://go.boarddocs.com/fl/stjohns/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
St. Lucie,St. Lucie Public Schools,fl/stlucie,BoardDocs,https://go.boarddocs.com/fl/stlucie/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Santa Rosa,Santa Rosa County District Schools,,CivicClerk,https://santarosacosdfl.portal.civicclerk.com/,"research agent. CivicClerk portal titled 'Santa Rosa County District Schools - Agendas and Minutes' (e.g. https://santarosacosdfl.portal.civicclerk.com/event/55/media); district page https://www.santarosaschools.org/page/school-board-meeting-information (Agendas, Minutes, Live Feed) could not be parsed; 2008-2021 archive at https://www.santarosa.k12.fl.us/school-board/sbmtgarchive/ (old domain no longer resolves). No BoardDocs found."
Sarasota,Sarasota County Schools,,NovusAGENDA,data/research_dispositions.csv,development research; not BoardDocs
Seminole,Seminole County Public Schools,,Diligent Community,https://www.scps.k12.fl.us/29055_4,"research agent. BoardDocs fl/semi holds policies only; meetings on Diligent Community. CONFLICT: Agendas & Minutes page (snippet) points to the School Board Meeting Portal for meetings beginning May 13 2025 at https://scpsfl.community.highbond.com/Portal/ (Diligent Community) and to a Meeting Archive (Jan 2018-Apr 2025, accessible PDF agendas at https://www.scps.k12.fl.us/29987_4). BoardDocs fl/semi (https://go.boarddocs.com/fl/semi/Board.nsf/Public) hosts the School Board Policy Manual. Page could not be fetched (connection dropped)."
Sumter,Sumter County School District,fla/scsfl,BoardDocs,https://go.boarddocs.com/fla/scsfl/Board.nsf/Public,"research agent; verified by corpus.py meetings. BoardDocs Pro site header '2680 West County Road 476 | Bushnell, Florida 33513'; meeting pages indexed (e.g. Apr 21 2020 regular meeting). District page https://www.sumter.k12.fl.us/school-board-members could not be fetched. Do not confuse with sumterschools.net / sc/sumter (Sumter, SC)."
Suwannee,Suwannee County School District,,district website (Apptegy documents),https://www.suwannee.k12.fl.us/page/school-board,research agent. School Board page has a Board Meeting Agendas section; agenda PDFs (e.g. Sept 23 2025 agenda) are served from files-backend.assets.thrillshare.com / core-docs S3 for the district's Apptegy site; page could not be parsed by the fetch tool. No BoardDocs found (site:go.boarddocs.com Suwannee returns nothing).
Taylor,Taylor County School District,fl/taylor,BoardDocs,https://go.boarddocs.com/fl/taylor/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Union,Union County School District,,district website (Google Drive folders),https://www.union.k12.fl.us/school-board,"research agent. School Board page links 'Upcoming School Board Meeting Agenda' and 'School Board Meeting Agenda Archive' to Google Drive folders (confirmed by fetch); no dedicated agenda portal. The only BoardDocs hit for Lake Butler is the City of Lake Butler (fl/colb), not the school district."
Volusia,Volusia County Schools,fla/vcsfl,BoardDocs,data/sources.csv,development corpus
Wakulla,Wakulla County School District,fl/wcsb,BoardDocs,https://go.boarddocs.com/fl/wcsb/Board.nsf/Public,"research agent; verified by corpus.py meetings. BoardDocs Pro site header '69 Arran Road, P.O. Box 100 | Crawfordville, FL 32326'; search snippet: the BoardDocs page provides Meeting Agendas and Minutes. District page https://www.wakullaschooldistrict.org/page/school-board could not be parsed by the fetch tool."
Walton,Walton County School District,fl/waltonsd,BoardDocs,https://go.boarddocs.com/fl/waltonsd/Board.nsf/Public,found by slug probe; verified by corpus.py meetings
Washington,Washington County School District,fl/wcsdschools,BoardDocs,https://go.boarddocs.com/fl/wcsdschools/Board.nsf/Public,research agent; verified by corpus.py meetings. BoardDocs LT site 'Washington County School District' (Welcome and Featured pages indexed). District archive page https://www.wcsdschools.com/archive-board-agendas-minutes holds only 2016-2018 agendas/minutes as internal pages (confirmed by fetch); search snippet says current agendas/minutes are on BoardDocs.
