district,outcome_date,window_start,window_end,checked_at,official_surface,query,candidate_url,candidate_date,status,reason
Polk County Public Schools,2026-06-09,2024-12-09,2026-06-08,2026-08-26,https://go.boarddocs.com/fl/polk/Board.nsf/Public,"BoardDocs full-text search for Fortinet with attachments enabled",https://go.boarddocs.com/fl/polk/Board.nsf/goto?open&id=DNEKNW52BEDB,2025-12-09,rejected_unrelated,"The attached quote is for 138 FortiGate 90G devices and FortiManager licensing for school wireless phone failover; it is not renewal of the district's Fortinet 6K firewalls."
Polk County Public Schools,2026-06-09,2024-12-09,2026-06-08,2026-08-26,https://go.boarddocs.com/fl/polk/Board.nsf/Public,"In-window agenda-title sweep for DGR Fortinet firewall cyber or security support",https://go.boarddocs.com/fl/polk/Board.nsf/goto?open&id=DS4JU44ED166,2026-04-28,rejected_unrelated,"The DGR Systems Annual SSP Contract provides technical architecture and roadmap advisory services; it does not identify Fortinet 6K equipment, licenses, or expiring support."
Polk County Public Schools,2026-06-09,2024-12-09,2026-06-08,2026-08-26,https://go.boarddocs.com/fl/polk/Board.nsf/Public,"In-window agenda-title sweep for DGR Fortinet firewall cyber or security support",https://go.boarddocs.com/fl/polk/Board.nsf/goto?open&id=DPHLCL551423,2026-01-27,rejected_unrelated,"The DGR strategic transition service is generic infrastructure and security governance; it contains no Fortinet 6K or firewall-renewal evidence."
Polk County Public Schools,2026-06-09,2024-12-09,2026-06-08,2026-08-26,https://go.boarddocs.com/fl/polk/Board.nsf/Public,"In-window agenda-title sweep for DGR Fortinet firewall cyber or security support",https://go.boarddocs.com/fl/polk/Board.nsf/goto?open&id=DNYMPC5C2EF5,2026-01-27,rejected_unrelated,"The record purchases DGR network-engineer staff augmentation through May 2026; it contains no Fortinet 6K renewal or support evidence."
Polk County Public Schools,2026-06-09,2024-12-09,2026-06-08,2026-08-26,https://go.boarddocs.com/fl/polk/Board.nsf/Public,"BoardDocs full-text search for Fortinet with attachments enabled",https://go.boarddocs.com/fl/polk/Board.nsf/goto?open&id=CWHLHE562F78,2023-10-24,rejected_out_of_window,"The work-session record concerns a $3.23 million FortiNAC network-access-control deployment and predates the declared window."
Polk County Public Schools,2026-06-09,2024-12-09,2026-06-08,2026-08-26,https://go.boarddocs.com/fl/polk/Board.nsf/Public,"BoardDocs full-text search for Fortinet with attachments enabled",https://go.boarddocs.com/fl/polk/Board.nsf/goto?open&id=CX4MC55A3BC6,2023-11-14,rejected_out_of_window,"The approval concerns the separate FortiNAC network-access-control deployment and predates the declared window."
Hillsborough County Public Schools,2024-03-05,2022-09-05,2024-03-04,2026-08-26,https://go.boarddocs.com/fl/sdhc/Board.nsf/Public,"All 59 in-window agendas for Crayon Microsoft endpoint Defender EDR cyber or computer protection",https://go.boarddocs.com/fl/sdhc/Board.nsf/goto?open&id=CYPQQF6A6912,2024-02-06,rejected_unrelated,"The Microsoft EES award and eight-page tabulation cover Microsoft 365, Azure, SQL, Office, and related licensing; neither the item nor attachment names Defender, endpoint protection, EDR, servers, or the later $859,752 subscription."
Hillsborough County Public Schools,2024-03-05,2022-09-05,2024-03-04,2026-08-26,https://go.boarddocs.com/fl/sdhc/Board.nsf/Public,"BoardDocs exact phrase search Endpoint Detection and Response with attachments enabled",https://go.boarddocs.com/fl/sdhc/Board.nsf/goto?open&id=C6MMUP5CE8D3,2021-10-05,rejected_out_of_window,"The withdrawn Carahsoft EDR item is before the September 5 2022 window start."
Hillsborough County Public Schools,2024-03-05,2022-09-05,2024-03-04,2026-08-26,https://go.boarddocs.com/fl/sdhc/Board.nsf/Public,"BoardDocs EDR and existing-source review",https://go.boarddocs.com/fl/sdhc/Board.nsf/goto?open&id=C7WJZZ4F65DF,2021-11-16,rejected_out_of_window,"The approved Carahsoft EDR item is before the September 5 2022 window start."
Hillsborough County Public Schools,2024-03-05,2022-09-05,2024-03-04,2026-08-26,https://go.boarddocs.com/fl/sdhc/Board.nsf/Public,"BoardDocs exact phrase search Endpoint Detection and Response filtered to 09/05/2022-03/04/2024",,,not_found,"The full-text search returned the October 2021 record and the March 5 outcome but no record inside the pre-outcome window."
Hillsborough County Public Schools,2024-03-05,2022-09-05,2024-03-04,2026-08-26,https://go.boarddocs.com/fl/sdhc/Board.nsf/Public,"BoardDocs exact phrase search Microsoft Defender with attachments enabled",,,not_found,"The official full-text search returned zero matches; the outcome attachment title uses Defender but belongs to the March 5 outcome item."
